Namespace(batch_size=64, beta1=0.5, cuda=False, data_path='../data/', dataset='cifar10', direction='b2a', epoch_count=1, input_nc=3, lamb=10, lr=0.0002, lr_decay_iters=50, lr_policy='lambda', ndf=8, ngf=8, niter=100, niter_decay=100, output_nc=3, result_path='../results/', seed=123, test_batch_size=1, threads=4)
===> Loading datasets
===> Building models
initialize network with normal
Load existing models
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type BatchNorm2d. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type ReLU. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Down. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type ResBlock. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Up. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type ConvTranspose2d. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Outconv. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Tanh. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
===> Epoch[2](1/390): Loss_G: 0.1032
===> Epoch[2](2/390): Loss_G: 0.0977
===> Epoch[2](3/390): Loss_G: 0.0858
===> Epoch[2](4/390): Loss_G: 0.1030
===> Epoch[2](5/390): Loss_G: 0.1345
===> Epoch[2](6/390): Loss_G: 0.0991
===> Epoch[2](7/390): Loss_G: 0.0868
===> Epoch[2](8/390): Loss_G: 0.0918
===> Epoch[2](9/390): Loss_G: 0.1159
===> Epoch[2](10/390): Loss_G: 0.0812
===> Epoch[2](11/390): Loss_G: 0.0916
===> Epoch[2](12/390): Loss_G: 0.0943
===> Epoch[2](13/390): Loss_G: 0.1149
===> Epoch[2](14/390): Loss_G: 0.0982
===> Epoch[2](15/390): Loss_G: 0.1068
===> Epoch[2](16/390): Loss_G: 0.0922
===> Epoch[2](17/390): Loss_G: 0.1019
===> Epoch[2](18/390): Loss_G: 0.0929
===> Epoch[2](19/390): Loss_G: 0.1220
===> Epoch[2](20/390): Loss_G: 0.0886
===> Epoch[2](21/390): Loss_G: 0.1009
===> Epoch[2](22/390): Loss_G: 0.0870
===> Epoch[2](23/390): Loss_G: 0.0923
===> Epoch[2](24/390): Loss_G: 0.1061
===> Epoch[2](25/390): Loss_G: 0.0861
===> Epoch[2](26/390): Loss_G: 0.0977
===> Epoch[2](27/390): Loss_G: 0.0981
===> Epoch[2](28/390): Loss_G: 0.1153
===> Epoch[2](29/390): Loss_G: 0.1342
===> Epoch[2](30/390): Loss_G: 0.0930
===> Epoch[2](31/390): Loss_G: 0.0854
===> Epoch[2](32/390): Loss_G: 0.0877
===> Epoch[2](33/390): Loss_G: 0.1569
===> Epoch[2](34/390): Loss_G: 0.0997
===> Epoch[2](35/390): Loss_G: 0.0996
===> Epoch[2](36/390): Loss_G: 0.0920
===> Epoch[2](37/390): Loss_G: 0.0945
===> Epoch[2](38/390): Loss_G: 0.0914
===> Epoch[2](39/390): Loss_G: 0.1124
===> Epoch[2](40/390): Loss_G: 0.0863
===> Epoch[2](41/390): Loss_G: 0.1003
===> Epoch[2](42/390): Loss_G: 0.0976
===> Epoch[2](43/390): Loss_G: 0.0960
===> Epoch[2](44/390): Loss_G: 0.0943
===> Epoch[2](45/390): Loss_G: 0.0889
===> Epoch[2](46/390): Loss_G: 0.0898
===> Epoch[2](47/390): Loss_G: 0.0940
===> Epoch[2](48/390): Loss_G: 0.0971
===> Epoch[2](49/390): Loss_G: 0.0879
===> Epoch[2](50/390): Loss_G: 0.0805
===> Epoch[2](51/390): Loss_G: 0.1056
