{'target': {'mean': array([-0.4510391], dtype=float32), 'std': array([0.38355893], dtype=float32), 'min': array([-4.1388025], dtype=float32), 'max': array([3.3192787], dtype=float32)}, 'input': {'mean': array([-0.39840052], dtype=float32), 'std': array([0.27414468], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[18](630/704): MSE-pixel: 0.1819
===> Epoch[18](660/704): MSE-pixel: 0.1807
===> Epoch[18](690/704): MSE-pixel: 0.2124
learning rate = 0.0010000
===> Epoch[19](0/704): MSE-pixel: 0.1864
===> Epoch[19](30/704): MSE-pixel: 0.1824
===> Epoch[19](60/704): MSE-pixel: 0.2057
===> Epoch[19](90/704): MSE-pixel: 0.1790
===> Epoch[19](120/704): MSE-pixel: 0.1941
===> Epoch[19](150/704): MSE-pixel: 0.1862
===> Epoch[19](180/704): MSE-pixel: 0.1840
===> Epoch[19](210/704): MSE-pixel: 0.1877
===> Epoch[19](240/704): MSE-pixel: 0.1865
===> Epoch[19](270/704): MSE-pixel: 0.1932
===> Epoch[19](300/704): MSE-pixel: 0.1730
===> Epoch[19](330/704): MSE-pixel: 0.1993
===> Epoch[19](360/704): MSE-pixel: 0.1747
===> Epoch[19](390/704): MSE-pixel: 0.1779
===> Epoch[19](420/704): MSE-pixel: 0.1899
===> Epoch[19](450/704): MSE-pixel: 0.1928
===> Epoch[19](480/704): MSE-pixel: 0.1909
===> Epoch[19](510/704): MSE-pixel: 0.1951
===> Epoch[19](540/704): MSE-pixel: 0.1955
===> Epoch[19](570/704): MSE-pixel: 0.1945
===> Epoch[19](600/704): MSE-pixel: 0.1877
===> Epoch[19](630/704): MSE-pixel: 0.1979
===> Epoch[19](660/704): MSE-pixel: 0.1788
===> Epoch[19](690/704): MSE-pixel: 0.1819
learning rate = 0.0010000
===> Epoch[20](0/704): MSE-pixel: 0.1941
===> Epoch[20](30/704): MSE-pixel: 0.1847
===> Epoch[20](60/704): MSE-pixel: 0.1763
===> Epoch[20](90/704): MSE-pixel: 0.1755
===> Epoch[20](120/704): MSE-pixel: 0.1778
===> Epoch[20](150/704): MSE-pixel: 0.1682
===> Epoch[20](180/704): MSE-pixel: 0.1935
===> Epoch[20](210/704): MSE-pixel: 0.1915
===> Epoch[20](240/704): MSE-pixel: 0.1918
===> Epoch[20](270/704): MSE-pixel: 0.1873
===> Epoch[20](300/704): MSE-pixel: 0.1830
===> Epoch[20](330/704): MSE-pixel: 0.1738
===> Epoch[20](360/704): MSE-pixel: 0.1843
===> Epoch[20](390/704): MSE-pixel: 0.1776
===> Epoch[20](420/704): MSE-pixel: 0.1875
===> Epoch[20](450/704): MSE-pixel: 0.1882
===> Epoch[20](480/704): MSE-pixel: 0.1951
===> Epoch[20](510/704): MSE-pixel: 0.1759
